2018 | 2019 | 2020 | 2021,No.,Cover,Title/Contents,Model,Lng*,Scale,2018,2019,2020,2021
21,https://static.wikia.nocookie.net/memoryalpha/images/3/3f/Star_Trek_Discovery_Official_Starships_Collection_issue_21.jpg/revision/latest/scale-to-width-down/180?cb=20191111035030&path-prefix=en,"Beacon of Kahless
12/11/2019

Contents, p. 2
Beacon of Kahless Specification, p. 3
Beacon of Kahless, pp. 4-7
Designing The Beacon of Kahless, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/6/6b/Eaglemoss_Beacon_of_Kahless.jpg/revision/latest/scale-to-width-down/240?cb=20191012042919&path-prefix=en,200 mm,1:600 [13],,,,,
22,https://static.wikia.nocookie.net/memoryalpha/images/7/71/Star_Trek_Discovery_Official_Starships_Collection_issue_22.jpg/revision/latest/scale-to-width-down/180?cb=20191030004618&path-prefix=en,"Stealth Ship
06/12/2019

Contents, p. 2
Stealth Ship Specification, p. 3
Stealth Ship, pp. 4-7
Designing The Stealth Ship, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/a/a7/Eaglemoss_Stealth_Ship.jpg/revision/latest/scale-to-width-down/240?cb=20191111042854&path-prefix=en,221 mm,1:1240,,,,,
2020,,,,,,,,,,
23,https://static.wikia.nocookie.net/memoryalpha/images/7/7a/Star_Trek_Discovery_Official_Starships_Collection_issue_23.jpg/revision/latest/scale-to-width-down/180?cb=20191025184447&path-prefix=en,"Landing pod
07/01/2020

Contents, p. 2
Landing Pod Specification, p. 3
Landing Pod, pp. 4-7
Designing The Landing Pod, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/2/24/Eaglemoss_Landing_Pod.jpg/revision/latest/scale-to-width-down/240?cb=20191011190309&path-prefix=en,185 mm [14],1:24,,,,,
24,https://static.wikia.nocookie.net/memoryalpha/images/6/6e/Star_Trek_Discovery_Official_Starships_Collection_issue_24.jpg/revision/latest/scale-to-width-down/180?cb=20200214213400&path-prefix=en,"Klingon DaSpu-class
30/01/2020

Contents, p. 2
Klingon DaSpu' Specification, p. 3
Klingon DaSpu', pp. 4-7
Designing The DaSpu', pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/0/0c/Eaglemoss_DASPU_Class.jpg/revision/latest/scale-to-width-down/240?cb=20200322235312&path-prefix=en,194 mm,1:2718,,,,,
25,https://static.wikia.nocookie.net/memoryalpha/images/0/06/Star_Trek_Discovery_Official_Starships_Collection_issue_25.jpg/revision/latest/scale-to-width-down/180?cb=20200629022759&path-prefix=en,"Section 31 drone ship
04/03/2020

Contents, p. 2
Section 31 Drone Specification, p. 3
Section 31 Drone, pp. 4-7
Designing The Section 31 Drone, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/0/03/Eaglemoss_Section_31_Drone.jpg/revision/latest/scale-to-width-down/240?cb=20200322125208&path-prefix=en,155 mm,1:25,,,,,
26,https://static.wikia.nocookie.net/memoryalpha/images/a/a7/Star_Trek_Discovery_Official_Starships_Collection_issue_26.jpg/revision/latest/scale-to-width-down/180?cb=20200629022844&path-prefix=en,"Klingon D7 Battle Cruiser
12/03/2020

Contents, p. 2
Klingon D7-Class Battle Cruiser Specification, p. 3
Klingon D7-Class Battle Cruiser, pp. 4-7
Designing The Klingon D7, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/a/a2/Eaglemoss_Klingon_D7_DIS.jpg/revision/latest/scale-to-width-down/240?cb=20200322130914&path-prefix=en,220 mm,1:2286,,,,,
27,https://static.wikia.nocookie.net/memoryalpha/images/5/58/Star_Trek_Discovery_Official_Starships_Collection_issue_27.jpg/revision/latest/scale-to-width-down/180?cb=20200629022936&path-prefix=en,"Starfleet Tug (USS Zimmerman) [15]
27/05/2020

Contents, p. 2
Starfleet Tug Specification, p. 3
Helios Class, pp. 4-7
Designing The Starfleet Tug, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/5/56/Eaglemoss_USS_Zimmerman.jpg/revision/latest/scale-to-width-down/240?cb=20200305185514&path-prefix=en,150 mm,1:1089,,,,,
28,https://static.wikia.nocookie.net/memoryalpha/images/5/5a/Star_Trek_Discovery_Official_Starships_Collection_issue_28.jpg/revision/latest/scale-to-width-down/180?cb=20200629023313&path-prefix=en,"Section 31 Nimrod-class
12/06/2020

Contents, p. 2
Nimrod-Class Specification, p. 3
Nimrod-Class, pp. 4-7
Planning The Final Battle, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/d/de/Eaglemoss_Section_31_Nimrod-Class.jpg/revision/latest/scale-to-width-down/240?cb=20200820160340&path-prefix=en,220 mm,1:3964,,,,,
29,https://static.wikia.nocookie.net/memoryalpha/images/4/4e/Star_Trek_Discovery_Official_Starships_Collection_issue_29.jpg/revision/latest/scale-to-width-down/180?cb=20200903014132&path-prefix=en,"Ba'ul fighter
19/08/2020

Contents, p. 2
Ba'ul Fighter Specification, p. 3
Ba'ul Fighter, pp. 4-9
Designing The Ba'ul Fighter, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/b/b0/Eaglemoss_Ba%27ul_Fighter.jpg/revision/latest/scale-to-width-down/240?cb=20201026071057&path-prefix=en,205 mm,1:47,,,,,
30,https://static.wikia.nocookie.net/memoryalpha/images/1/15/Star_Trek_Discovery_Official_Starships_Collection_issue_30.jpg/revision/latest/scale-to-width-down/180?cb=20210410203845&path-prefix=en,"Section 31 Shiva-class
04/12/2020

Contents, p. 2
Shiva-Class Specification, p. 3
Shiva-Class, pp. 4-7
Designing The Section 31 Fleet, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/7/7b/Eaglemoss_Section_31_Shiva_Class.jpg/revision/latest/scale-to-width-down/240?cb=20201026072631&path-prefix=en,150 mm,1:4302,,,,,
2021,,,,,,,,,,
31,https://static.wikia.nocookie.net/memoryalpha/images/8/83/Star_Trek_Discovery_Official_Starships_Collection_issue_31.jpg/revision/latest/scale-to-width-down/180?cb=20210410212132&path-prefix=en,"Klingon Batlh-class
01/02/2021

Contents, p. 2
Klingon Batlh-Class Specification, p. 3
Klingon Batlh-Class, pp. 4-7
Designing The Batlh-Class, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/f/f3/Eaglemoss_Klingon_Batlh-Class.jpg/revision/latest/scale-to-width-down/240?cb=20210127004159&path-prefix=en,200 mm,1:2091,,,,,
32,https://static.wikia.nocookie.net/memoryalpha/images/1/11/Star_Trek_Discovery_Official_Starships_Collection_issue_32.jpg/revision/latest/scale-to-width-down/180?cb=20210410212216&path-prefix=en,"Section 31 Hou-Yi-class
16/02/2021

Contents, p. 2
Hou-Yi-Class Specification, p. 3
Hou-Yi-Class, pp. 4-7
Scaling The Section 31 Fleet, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/3/34/Eaglemoss_Section_31_Hou-Yi-Class.jpg/revision/latest/scale-to-width-down/240?cb=20201120000053&path-prefix=en,150 mm,1:4302,,,,,
33,https://static.wikia.nocookie.net/memoryalpha/images/2/22/Star_Trek_Discovery_Starships_Collection_issue_33.jpg/revision/latest/scale-to-width-down/180?cb=20210410212256&path-prefix=en,"Klingon Chargh-class
08/03/2021

Contents, p. 2
Chargh-Class Specification, p. 3
Chargh-Class, pp. 4-7
Designing The Chargh, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/5/5c/Eaglemoss_Klingon_Chargh_Class.jpg/revision/latest/scale-to-width-down/240?cb=20201223151225&path-prefix=en,190 mm,1:4072,,,,,
